id,company_id,year,market_cap,enterprise_value,pe_ratio,pb_ratio,ev_ebitda,dividend_yield,valuation_flag
280,INDIGO,2022,1034978.53,1343725.41,19.25,10.95,30.38,3.07,Discount
282,INDIGO,2024,1040632.92,1061542.29,76.23,7.87,24.64,4.27,Caution
283,INDUSINDBK,2019,1305732.17,1230713.54,68.96,5.36,33.37,3.85,Caution
286,INDUSINDBK,2022,1839916.06,1655974.13,71.98,0.61,32.08,2.12,Caution
288,INDUSINDBK,2024,1807433.12,1674611.06,8.99,3.7,28.79,1.42,Discount
290,INFY,2020,468232.33,516667.75,26.14,13.59,31.82,2.22,Discount
293,INFY,2023,871427.0,1021527.28,71.12,11.97,5.78,0.56,Caution
295,IOC,2019,1122574.59,1338235.9,15.28,13.46,10.22,2.98,Discount
298,IOC,2022,1605938.54,1867479.2,79.84,7.17,29.72,3.59,Caution
299,IOC,2023,1666992.08,1805135.73,77.78,0.97,16.74,2.19,Caution
300,IOC,2024,1418164.33,1786391.89,28.61,4.24,33.71,1.25,Discount
304,IRCTC,2022,1322589.51,1554041.66,12.08,2.09,33.44,1.05,Discount
305,IRCTC,2023,1359334.39,1302404.03,22.05,11.74,14.17,2.02,Discount
307,IRFC,2019,1262848.07,1625870.1,24.73,1.86,14.21,0.55,Discount
309,IRFC,2021,1481705.69,1855967.59,74.92,11.42,32.61,1.97,Caution
312,IRFC,2024,2618348.58,2449260.08,9.81,3.91,16.66,2.82,Discount
313,ITC,2019,215793.67,211845.82,69.58,1.15,17.46,2.84,Caution
314,ITC,2020,281943.95,351639.75,72.45,1.41,34.43,3.51,Caution
315,ITC,2021,366869.92,375906.12,73.65,6.34,27.19,1.91,Caution
319,JINDALSTEL,2019,399948.98,518743.74,29.77,10.36,13.1,2.48,Discount
323,JINDALSTEL,2023,421683.82,460644.47,73.96,8.84,9.73,2.46,Caution
324,JINDALSTEL,2024,396587.97,478682.44,77.64,5.73,20.22,1.9,Caution
325,JIOFIN,2019,538148.59,617305.58,12.61,12.66,11.55,4.41,Discount
326,JIOFIN,2020,558776.67,640682.07,13.6,5.5,33.08,2.15,Discount
327,JIOFIN,2021,727695.83,822336.58,74.86,14.75,20.89,2.54,Caution
328,JIOFIN,2022,922325.59,911823.25,70.04,9.08,30.39,0.36,Caution
329,JIOFIN,2023,1137314.0,1164967.52,65.98,7.88,14.61,4.29,Caution
333,JSWENERGY,2021,66726.89,76914.23,71.29,3.09,30.82,0.11,Caution
336,JSWENERGY,2024,110870.53,124622.6,24.79,9.88,35.95,1.25,Discount
341,JSWSTEEL,2023,2101814.77,2210837.76,8.68,9.24,33.75,2.83,Discount
342,JSWSTEEL,2024,2612646.38,3187328.18,69.27,4.37,35.49,2.94,Caution
346,KOTAKBANK,2022,455106.0,483040.86,73.13,3.75,28.96,0.64,Caution
347,KOTAKBANK,2023,467372.62,480678.67,75.47,6.71,29.17,2.71,Caution
350,LICI,2020,196576.3,233201.16,20.36,2.12,10.34,1.11,Discount
352,LICI,2022,171741.93,179309.03,13.18,2.48,28.3,3.12,Discount
353,LICI,2023,204112.31,228780.25,76.58,7.85,20.73,1.11,Caution
355,LODHA,2019,1516344.89,1875614.07,70.86,14.94,17.0,3.4,Caution
358,LODHA,2022,1322559.29,1261563.26,13.49,1.97,18.41,1.52,Discount
362,LT,2020,606183.52,582692.86,18.62,6.6,10.51,3.85,Discount
363,LT,2021,690472.41,723135.04,13.01,9.07,9.08,3.34,Discount
364,LT,2022,864042.71,965645.93,18.77,11.91,15.77,1.0,Discount
365,LT,2023,937726.82,1190030.19,29.41,13.63,6.88,0.38,Discount
369,LTIM,2021,1325692.27,1604670.91,30.49,14.47,39.4,3.0,Discount
371,LTIM,2023,1066603.12,1176236.08,71.7,1.11,12.43,3.12,Caution
373,M&M,2019,1707695.34,2021410.72,76.49,7.02,9.79,3.01,Caution
374,M&M,2020,2271322.15,2677621.8,65.84,6.63,8.38,0.76,Caution
375,M&M,2021,3046586.67,3342939.51,8.87,14.35,22.42,3.76,Discount
378,M&M,2024,4173085.48,3837414.39,14.22,0.81,29.08,2.37,Discount
379,MARUTI,2019,1445154.02,1428864.0,65.97,4.77,37.75,1.13,Caution
380,MARUTI,2020,1349572.01,1480925.31,11.64,1.03,22.36,0.97,Discount
383,MARUTI,2023,1507366.44,1474615.02,14.7,14.19,31.01,1.41,Discount
384,MARUTI,2024,1503863.63,1891991.87,20.78,8.26,29.97,1.78,Discount
388,MOTHERSON,2022,136555.49,157086.66,76.33,10.98,30.36,2.66,Caution
389,MOTHERSON,2023,125781.85,139351.91,26.19,14.98,14.34,1.04,Discount
390,MOTHERSON,2024,146151.16,161406.34,9.54,2.38,33.39,2.18,Discount
391,NAUKRI,2019,241741.48,242045.98,24.1,14.39,17.67,0.21,Discount
392,NAUKRI,2020,322764.36,393106.28,26.32,6.43,35.18,1.61,Discount
398,NESTLEIND,2020,1106130.85,1267509.76,79.55,5.8,24.33,1.48,Caution
399,NESTLEIND,2021,1425221.19,1775599.1,20.87,13.55,10.3,0.43,Discount
401,NESTLEIND,2023,1811624.04,1823644.1,11.53,1.76,33.06,4.1,Discount
403,NHPC,2019,1011493.79,965474.33,78.1,6.89,38.35,2.06,Caution
408,NHPC,2024,1740404.25,2103124.81,71.17,13.74,18.26,1.68,Caution
410,NTPC,2020,549989.15,598573.64,22.83,7.06,14.72,2.72,Discount
413,NTPC,2023,953935.75,1220821.99,79.29,12.24,9.96,3.18,Caution
417,ONGC,2021,316247.83,328041.06,16.47,6.68,11.25,3.51,Discount
420,ONGC,2024,390111.05,499988.49,18.15,10.36,11.72,1.11,Discount
423,PFC,2021,1682458.73,1739295.43,71.66,1.56,34.04,0.75,Caution
424,PFC,2022,1504604.05,1475909.96,15.39,8.05,39.59,0.15,Discount
427,PIDILITIND,2019,175760.23,215960.74,17.69,11.27,15.11,3.98,Discount
428,PIDILITIND,2020,187037.75,181181.47,78.98,3.06,24.87,2.56,Caution
429,PIDILITIND,2021,193847.18,248239.82,68.76,12.53,39.1,2.06,Caution
433,PNB,2019,1116326.04,1152180.48,70.8,13.8,38.18,1.23,Caution
434,PNB,2020,1458207.93,1742246.74,19.1,9.35,5.92,3.19,Discount
435,PNB,2021,1774323.73,2157108.17,20.42,9.61,11.26,4.26,Discount
436,PNB,2022,2107018.91,1976658.37,21.47,10.12,21.68,3.31,Discount
437,PNB,2023,2086779.73,2427273.35,20.74,8.38,38.52,2.83,Discount
438,PNB,2024,1825925.6,2365495.49,19.29,10.91,23.64,1.32,Discount
439,POWERGRID,2019,253564.15,315271.49,70.85,7.24,8.63,3.98,Caution
442,POWERGRID,2022,270631.91,263995.91,65.69,3.16,26.9,4.37,Caution
447,RECLTD,2021,306600.13,339058.49,16.55,4.55,29.01,0.35,Discount
448,RECLTD,2022,362149.73,456426.16,77.79,3.64,31.21,4.17,Caution
449,RECLTD,2023,324371.96,345653.82,74.2,3.44,37.68,2.37,Caution
453,RELIANCE,2021,477545.63,530232.91,14.91,14.48,36.28,2.92,Discount
455,RELIANCE,2023,449714.02,575147.7,75.41,8.7,27.55,0.62,Caution
458,SBILIFE,2020,625311.99,663578.68,10.2,6.98,11.33,0.64,Discount
459,SBILIFE,2021,654418.26,614911.54,76.94,1.19,19.05,0.73,Caution
462,SBILIFE,2024,886097.71,1097553.71,69.98,9.48,31.04,1.62,Caution
463,SBIN,2019,1482417.4,1684030.56,28.31,2.13,24.87,1.59,Discount
467,SBIN,2023,2664457.97,3336018.79,72.12,7.09,35.08,0.46,Caution
470,SHREECEM,2020,1370108.42,1775340.62,67.14,8.03,17.84,3.07,Caution
472,SHREECEM,2022,1932061.03,1830555.08,25.68,0.89,5.28,1.01,Discount
474,SHREECEM,2024,3154358.33,2911084.5,25.87,1.21,26.58,3.2,Discount
475,SHRIRAMFIN,2019,594898.99,643160.23,79.88,0.51,8.83,1.36,Caution
476,SHRIRAMFIN,2020,513251.36,622540.94,11.8,11.36,6.84,1.14,Discount
478,SHRIRAMFIN,2022,816109.58,830906.79,27.14,10.02,18.67,0.61,Discount
480,SHRIRAMFIN,2024,868933.47,1098024.4,68.53,7.91,28.82,1.86,Caution
481,SIEMENS,2019,951918.38,1022262.14,23.09,1.05,25.6,3.89,Discount
483,SIEMENS,2021,911257.72,1118554.17,10.54,5.57,28.22,0.59,Discount
484,SIEMENS,2022,882073.22,982803.39,76.63,4.67,22.06,1.8,Caution
487,SUNPHARMA,2019,758612.89,960774.91,74.3,10.71,27.29,2.39,Caution
489,SUNPHARMA,2021,794888.64,726981.85,12.16,2.14,10.38,4.45,Discount
490,SUNPHARMA,2022,812572.94,826215.51,11.76,9.71,27.83,0.79,Discount
491,SUNPHARMA,2023,1064162.39,1298488.21,24.58,7.54,21.04,1.57,Discount
493,TATACONSUM,2019,298527.54,342447.92,20.52,1.59,19.93,0.99,Discount
494,TATACONSUM,2020,307664.97,308860.07,14.67,8.63,5.95,4.35,Discount
495,TATACONSUM,2021,314022.94,369938.81,66.35,4.55,31.21,3.75,Caution
496,TATACONSUM,2022,304809.07,395336.72,9.49,3.65,32.3,0.87,Discount
497,TATACONSUM,2023,365505.69,454035.61,77.06,7.38,38.99,1.85,Caution
499,TATAMOTORS,2019,1047137.5,1151780.53,26.23,11.5,16.82,3.67,Discount
500,TATAMOTORS,2020,919827.57,950063.39,14.79,1.74,28.04,1.73,Discount
501,TATAMOTORS,2021,1182658.61,1308685.14,29.26,10.95,26.84,3.6,Discount
504,TATAMOTORS,2024,1504106.64,1588737.42,67.07,0.93,15.35,3.65,Caution
505,TATAPOWER,2019,1458746.25,1831481.73,22.32,3.71,34.62,4.06,Discount
506,TATAPOWER,2020,1402442.85,1295478.08,14.5,4.29,31.65,2.29,Discount
507,TATAPOWER,2021,1511545.08,1713572.11,72.1,1.81,29.32,4.17,Caution
509,TATAPOWER,2023,1592398.68,1769432.81,24.7,10.29,14.32,1.75,Discount
510,TATAPOWER,2024,1647269.48,1925345.06,14.5,3.48,12.02,0.49,Discount
512,TATASTEEL,2020,339775.94,396643.74,73.73,10.62,12.63,1.42,Caution
515,TATASTEEL,2023,320309.06,388401.17,19.23,3.0,34.08,2.75,Discount
519,TCS,2021,351038.19,381848.36,79.57,11.14,23.13,3.62,Caution
521,TCS,2023,405916.42,410957.48,8.74,13.8,29.01,3.1,Discount
522,TCS,2024,461188.15,542230.13,78.69,6.08,29.94,1.62,Caution
523,TECHM,2019,1639903.22,2067764.75,8.39,4.82,9.69,2.04,Discount
530,TITAN,2020,1301076.74,1556937.57,18.73,5.89,35.46,4.25,Discount
531,TITAN,2021,1401305.03,1305744.95,26.55,3.88,13.36,2.22,Discount
532,TITAN,2022,1599747.79,1518166.79,72.03,9.49,25.9,4.44,Caution
533,TITAN,2023,1862221.59,2367970.55,28.61,3.98,23.08,2.29,Discount
534,TITAN,2024,1793769.72,2116401.21,10.13,10.51,21.0,3.1,Discount
535,TORNTPHARM,2019,961478.14,994047.23,78.75,1.44,28.93,2.04,Caution
536,TORNTPHARM,2020,1212490.1,1474201.75,65.62,1.87,33.78,0.96,Caution
541,TRENT,2019,709354.25,819010.58,70.85,12.21,27.83,3.78,Caution
543,TRENT,2021,700098.06,798656.79,78.02,14.33,12.95,1.37,Caution
544,TRENT,2022,607706.78,643881.28,68.1,13.78,13.28,1.2,Caution
545,TRENT,2023,583656.73,607027.17,65.94,9.88,32.51,2.62,Caution
546,TRENT,2024,571322.04,566293.08,8.65,11.82,34.65,3.46,Discount
547,TVSMOTOR,2019,143093.33,131403.61,15.6,6.89,21.67,3.67,Discount
548,TVSMOTOR,2020,170247.22,163663.43,24.28,4.64,9.33,1.29,Discount
549,TVSMOTOR,2021,206731.04,206020.01,68.15,7.31,16.3,1.86,Caution
550,TVSMOTOR,2022,249058.89,275637.72,8.52,13.87,7.31,4.22,Discount
